,
,
,
,
,
,
,
22.05.23,corriger le bug du plus court chemin
29.05.23,
05.06.23,
12.06.23,méthode aléatoire (avec répétitions)
19.06.23,"rapport : Dijkstra, ACO"
26.06.23,1e version ACO : voyageur de commerce sur une matrice de distances
,
,
21.08.23,optimisation de la méthode
28.08.23,
04.09.23,
11.09.23,algo génétique
18.09.23,
25.09.23,
02.10.23,
09.10.23,rapport
16.10.23,vacances
23.10.23,vacances
30.10.23,
06.11.23,RENDU
